Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5910","Export Quantity","2732","Mutton & Goat Meat","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5910","Export Quantity","2732","Mutton & Goat Meat","2005","2005","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5910","Export Quantity","2732","Mutton & Goat Meat","2010","2010","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5610","Import Quantity","2733","Pigmeat","2000","2000","tonnes","11763","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5610","Import Quantity","2733","Pigmeat","2005","2005","tonnes","29725","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5610","Import Quantity","2733","Pigmeat","2010","2010","tonnes","62269","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5910","Export Quantity","2733","Pigmeat","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5910","Export Quantity","2733","Pigmeat","2005","2005","tonnes","46","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5910","Export Quantity","2733","Pigmeat","2010","2010","tonnes","46","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5610","Import Quantity","2734","Poultry Meat","2000","2000","tonnes","47300","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5610","Import Quantity","2734","Poultry Meat","2005","2005","tonnes","102812","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5610","Import Quantity","2734","Poultry Meat","2010","2010","tonnes","238357","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5910","Export Quantity","2734","Poultry Meat","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5910","Export Quantity","2734","Poultry Meat","2005","2005","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","7","Angola","5910","Export Quantity","2734","Poultry Meat","2010","2010","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2731","Bovine Meat","2000","2000","tonnes","260","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2731","Bovine Meat","2005","2005","tonnes","1370","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2731","Bovine Meat","2010","2010","tonnes","652","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5910","Export Quantity","2731","Bovine Meat","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5910","Export Quantity","2731","Bovine Meat","2005","2005","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5910","Export Quantity","2731","Bovine Meat","2010","2010","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2744","Eggs","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2744","Eggs","2005","2005","tonnes","142","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2744","Eggs","2010","2010","tonnes","147","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5910","Export Quantity","2744","Eggs","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5910","Export Quantity","2744","Eggs","2005","2005","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5910","Export Quantity","2744","Eggs","2010","2010","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2745","Honey","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2745","Honey","2005","2005","tonnes","17","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2745","Honey","2010","2010","tonnes","4","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2848","Milk - Excluding Butter","2000","2000","tonnes","6011","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2848","Milk - Excluding Butter","2005","2005","tonnes","14550","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2848","Milk - Excluding Butter","2010","2010","tonnes","6233","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5910","Export Quantity","2848","Milk - Excluding Butter","2000","2000","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5910","Export Quantity","2848","Milk - Excluding Butter","2005","2005","tonnes","20","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5910","Export Quantity","2848","Milk - Excluding Butter","2010","2010","tonnes","0","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2732","Mutton & Goat Meat","2000","2000","tonnes","45","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2732","Mutton & Goat Meat","2005","2005","tonnes","188","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2732","Mutton & Goat Meat","2010","2010","tonnes","151","S","Standardized data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","5610","Import Quantity","2733","Pigmeat","2000","2000","tonnes","403","S","Standardized data"
